Date,Price,Open,High,Low,Vol.,Change %
12/1/2023,4769.83,"4,560.14","4,793.35","4,546.31",,4.42%
11/1/2023,4567.78,"4,203.62","4,588.00","4,196.92",,8.92%
10/1/2023,4193.80,"4,280.50","4,393.73","4,103.49",,-2.20%
9/1/2023,4288.05,"4,534.42","4,540.16","4,238.53",,-4.87%
8/1/2023,4507.66,"4,576.21","4,584.24","4,337.77",,-1.77%
7/1/2023,4588.96,"4,444.17","4,606.00","4,385.18",,3.11%
6/1/2023,4450.38,"4,183.84","4,458.43","4,171.00",,6.47%
5/1/2023,4179.83,"4,166.27","4,229.98","4,048.00",,0.25%
4/1/2023,4169.48,"4,102.50","4,170.52","4,049.30",,1.46%
3/1/2023,4109.31,"3,958.20","4,110.80","3,810.54",,3.51%
2/1/2023,3970.15,"4,063.85","4,195.34","3,942.86",,-2.61%
1/1/2023,4076.60,"3,858.38","4,094.32","3,793.67",,6.18%
12/1/2022,3839.50,"4,089.50","4,103.05","3,764.14",,-5.90%
11/1/2022,4080.11,"3,911.50","4,080.11","3,695.60",,5.38%
10/1/2022,3871.98,"3,624.07","3,906.05","3,490.00",,7.99%
9/1/2022,3585.62,"3,929.90","4,119.69","3,585.40",,-9.34%
8/1/2022,3955.00,"4,103.38","4,325.50","3,954.90",,-4.24%
7/1/2022,4130.29,"3,779.27","4,140.00","3,720.25",,9.11%
6/1/2022,3785.38,"4,156.10","4,177.60","3,636.82",,-8.39%
5/1/2022,4132.15,"4,132.70","4,307.90","3,810.50",,0.01%
4/1/2022,4131.93,"4,547.90","4,593.90","4,123.87",,-8.80%
3/1/2022,4530.41,"4,358.08","4,637.90","4,157.20",,3.58%
2/1/2022,4373.79,"4,521.35","4,595.10","4,114.50",,-3.14%
1/1/2022,4515.55,"4,781.00","4,817.88","4,221.54",,-5.26%
12/1/2021,4766.18,"4,623.80","4,808.52","4,494.20",,4.36%
11/1/2021,4567.00,"4,616.47","4,743.74","4,560.26",,-0.83%
10/1/2021,4605.38,"4,324.71","4,608.70","4,278.70",,6.91%
9/1/2021,4307.54,"4,531.04","4,544.58","4,304.90",,-4.76%
8/1/2021,4522.68,"4,415.90","4,537.80","4,369.20",,2.90%
7/1/2021,4395.26,"4,304.10","4,430.20","4,232.80",,2.27%
6/1/2021,4297.50,"4,216.52","4,302.43","4,164.40",,2.22%
5/1/2021,4204.11,"4,191.98","4,238.04","4,056.88",,0.55%
4/1/2021,4181.17,"3,992.78","4,218.78","3,992.78",,5.24%
3/1/2021,3972.89,"3,842.51","3,994.41","3,723.34",,4.24%
2/1/2021,3811.15,"3,731.17","3,950.43","3,725.62",,2.61%
1/1/2021,3714.24,"3,764.61","3,870.90","3,662.71",,-1.11%
12/1/2020,3756.07,"3,645.87","3,760.20","3,633.40",,3.71%
11/1/2020,3621.63,"3,296.20","3,645.99","3,279.74",,10.75%
10/1/2020,3269.96,"3,385.87","3,549.85","3,233.94",,-2.77%
9/1/2020,3363.00,"3,507.44","3,588.11","3,209.45",,-3.92%
8/1/2020,3500.31,"3,288.26","3,514.77","3,284.53",,7.01%
7/1/2020,3271.12,"3,105.92","3,279.99","3,101.17",,5.51%
6/1/2020,3100.29,"3,038.78","3,233.13","2,965.66",,1.84%
5/1/2020,3044.31,"2,869.09","3,068.67","2,766.64",,4.53%
4/1/2020,2912.43,"2,498.08","2,954.86","2,447.49",,12.68%
3/1/2020,2584.59,"2,974.28","3,136.72","2,191.86",,-12.51%
2/1/2020,2954.22,"3,235.66","3,393.52","2,855.84",,-8.41%
1/1/2020,3225.52,"3,244.67","3,337.77","3,214.64",,-0.16%
12/1/2019,3230.78,"3,143.85","3,247.93","3,070.33",,2.86%
