"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2024","469.24","479.70","482.20","464.98","192.38M","-2.04%"
"12/01/2023","479.02","461.90","480.58","461.90","88.07M","3.77%"
"11/01/2023","461.61","434.71","462.06","433.33","3.82B","6.45%"
"10/01/2023","433.66","450.82","457.02","428.84","3.88B","-3.68%"
"09/01/2023","450.22","458.31","465.32","444.38","3.59B","-1.74%"
"08/01/2023","458.19","470.95","471.19","445.50","3.62B","-2.79%"
"07/01/2023","471.35","461.89","472.69","444.91","3.23B","2.04%"
"06/01/2023","461.93","452.43","468.25","450.16","3.96B","2.25%"
"05/01/2023","451.76","467.00","470.45","451.25","4.54B","-3.19%"
"04/01/2023","466.64","457.83","469.81","455.56","3.67B","1.92%"
"03/01/2023","457.84","460.53","465.95","427.77","5.64B","-0.71%"
"02/01/2023","461.11","453.72","467.86","452.16","4.32B","1.74%"
"01/01/2023","453.21","425.90","459.30","425.90","4.19B","6.67%"
"12/01/2022","424.89","441.56","447.11","421.56","3.43B","-3.44%"
"11/01/2022","440.04","413.31","441.62","405.95","4.43B","6.75%"
"10/01/2022","412.20","386.43","413.16","379.72","4.32B","6.28%"
"09/01/2022","387.85","414.47","430.47","380.04","5.04B","-6.57%"
"08/01/2022","415.12","437.63","444.46","415.12","3.67B","-5.29%"
"07/01/2022","438.29","405.89","439.01","400.50","4.21B","7.64%"
"06/01/2022","407.20","443.62","445.72","400.03","4.40B","-8.15%"
"05/01/2022","443.35","448.26","449.48","417.27","4.67B","-1.56%"
"04/01/2022","450.39","456.46","464.11","436.75","4.08B","-1.20%"
"03/01/2022","455.86","453.00","463.79","405.61","7.02B","0.61%"
"02/01/2022","453.11","470.49","478.89","434.05","4.81B","-3.36%"
"01/01/2022","468.88","488.28","495.46","454.52","4.22B","-3.88%"
"12/01/2021","487.80","464.12","490.10","461.26","3.73B","5.37%"
"11/01/2021","462.96","475.87","490.58","459.54","5.14B","-2.64%"
"10/01/2021","475.51","451.73","476.06","446.25","3.87B","4.55%"
"09/01/2021","454.81","471.74","475.65","450.25","3.99B","-3.41%"
"08/01/2021","470.88","462.40","476.16","462.40","3.22B","1.98%"
"07/01/2021","461.74","453.59","464.31","442.13","3.50B","1.97%"
"06/01/2021","452.84","447.58","460.51","447.58","3.73B","1.36%"
"05/01/2021","446.76","437.87","450.07","430.32","3.91B","2.14%"
"04/01/2021","437.39","429.61","443.61","429.61","3.53B","1.81%"
"03/01/2021","429.60","408.25","431.76","407.14","5.29B","6.08%"
