"DirectoryName";"FileNames";"Content"
Jan 2021;"Russia Uses Strategic Reserve to Soak Up Surplus Jet Fuel";"Russia used its strategic stockpile to siphon off excess jet fuel last year as the pandemic ravaged the aviationsector. Rosreserv, a state-owned agency that stockpiles strategic goods ranging from petroleum products to sugarand beans, came to the rescue for Russia’s jet fuel market. The secretive entity purchased nearly 432,000 metrictons of jet during 2020, a more than fourfold increase on 2019, according to data on railroad deliveries seen byEnergy Intelligence. The 350,000 tons of additional jet snapped up by Rosreserv last year still pales in comparisonto the approximate 2.6 million tons (56,990 barrels per day) annual decline in supplies sent to Russian airports forcivilian aircraft.Rail data show that deliveries to airports fell 1.76 million tons year on year to 3.19 million tons. Pipeline deliveries toa handful of airports declined some 850,000 tons over the year to 1.7 million tons, a source told Energy Intelligence.Those supplies were sent to the three hubs in Moscow, Pulkovo in St. Petersburg, and the airport in Ufa to the westof the Ural mountains. To dispose of excess jet fuel refiners blended about 2.15 million tons into the diesel pool lastyear, a 53% increase compared to 2019, according to balances compiled from railroad data.Russia's refining industry is the world's third-largest, behind the US and China. Unlike in most countries whererefiners slashed utilization rates to contain a mounting product surplus, the Russian downstream sector producedsome 10.5 million tons (230,000 b/d) of jet fuel in 2020. That was down just 2 million tons or 16% from 2019volumes, based on Energy Intelligence calculations.Balances show that 7.68 million tons were delivered to various consumers and outlets by rail last year, including forairports, exports, blendstock, strategic storage and military usage. Novatek’s condensate splitter produced 1.06million tons of jet for the year, down a mere 20,000 barrels year on year. Russian rail exports of jet fuel plummeted34% to 462,540 tons. But total exports including Novatek volumes amounted to 1.52 million tons. All of thosesupplies were shipped abroad from a port on the Gulf of Finland. Russian jet fuel exports to Europe in the first ninemonths of 2020 plunged by 55% to 648,000 tons, according to International Energy Agency data ( JFI Dec.25'20 ).A summer revival in Russia's domestic travel brought air traffic inside the country close to 2019 levels -- the onlydomestic market to show a nearly complete rebound last year. Grounding of international flights led to a 46%decline in passenger numbers last year to 69.1 million, the country’s industry regulator Rosaviatsia announced thisweek. That setback follows several years of double-digit growth and a new record set in 2019. As the country’slargest carrier, Aeroflot-International Airlines accounted for 30% of all passengers handled by Russian airlines in2019. Its reliance on international routes caused a 61% drop in passengers ( JFI Nov.20'20 ). By contrast, theAeroflot Group’s discount carrier Pobeda focuses on domestic routes and saw a 12% fall over the year to 9.1 millionpassengers. Preliminary reports indicate the airline even posted a 1.4 billion ruble ($18 million) profit for the year.Pobeda’s success as Russia’s fastest growing carrier has sparked a discussion about the need to create at leastone other discount carrier. Transport Minister Vitaly Saveliev, the former CEO of the Aeroflot Group, told Russianmedia that the country’s largest bank was considering investing in a new low-cost carrier that would ultimatelycompete with Pobeda. Rosaviatsia held a meeting on Jan. 20 with industry officials and potential investors,including existing airlines. Saveliev earlier said it made sense to base the new airline in Siberia and that a total ofthree discount carriers could eventually cover the entire Russian domestic market. A new niche airline would helpthe recovery in Russia’s aviation industry, given potential growth in civilian air traffic and underutilized airportcapacity. The government also hopes to sell hundreds of Russian-made MS-21 narrow-body aircraft. Theembryonic plan involves the creation of the new low-cost carrier within an existing company. But reports indicatethat Russia’s largest airlines are not enthusiastic about the idea and don’t want to change their business models asthey emerge from the pandemic.Gary Peach, New York"
Jan 2021;"Global economy heals";"IMF raises world growth forecast THE International Monetary Fund has lifted its global economic growth forecastfor the year ahead amid the COVID-19 vaccine rollout and noted Australia's recovery has been stronger thanexpected.The latest update from one of the world's most highly regarded financial institutions estimates the global economywill grow by 5.5 per cent in 2021 and 4.2 per cent in 2022.The 2021 forecast is 0.3 of a percentage point higher than what the IMF predicted in October but less than the 5.8per cent it forecast in April last year.The update, released overnight, does not include a specific forecast for Australia but notes that the nation's mostrecent economic growth numbers ""mostly surprised on the upside"".Commodity prices such as oil and metals are also expected to ""accelerate strongly"" this year in what looms as awindfall for the nation's coffers.IMF chief economist Gita Gopinath said the rollout of COVID-19 vaccines and increased stimulus spending in majoreconomies such as the United States and Japan paved the way for a stronger global recovery in 2021. But shecautioned the international economy continued to face ""tremendous uncertainty"" amid renewed waves and newvariants of the virus.""Much now depends on the outcome of this race between a mutating virus and vaccines to end the pandemic,""said. ""If downside risks were to materialise, a tightening of financial conditions could amplify the downturn at a timewhen public and corporate debt are at record highs worldwide."
Jan 2021;"December diesel demand crawls up to 97% of pre-pandemic level";"NEW DELHI: India's diesel consumption continued to cover slack in December but still remained 3% less than thesame month of 2019, indicating the economy is gradually coming out of the woods.Diesel consumption, one of thekey barometers of economic activity, had fallen 7% from the year-ago period in November after shooting past thepre-pandemic level for the first time in eight months in October by clocking a 6% year-on-year growth.In contrast,petrol demand during the month more or less maintained the pace of annual growth at 8.7%, a tad below 9% seenin November on the back of holiday driving and positive sentiment in the car market.December sales data of publicsector retailers, who command about 90% of the market, show jet fuel also covering ground to remain 43% lessthan December 2019 as overseas flights faced fresh curtailments. On a month-on-month basis, however, sales injumped 11% from November level on the back of rising domestic travel by air for holidays.November jet fuel sales were down more than 48% from the same month of 2019.LPG, or common householdcooking gas, showed a 7.6% growth in annual demand during December, or more than double of November sales,as the temperature plummeted across north and east India.The gradual recovery in demand for all fuels boostedrefiners, with state-run IndianOil, the country's largest refiner and fuel retailer, last month cranking up operations atall its refineries to 100%. For Reprint Rights: timescontent.com"
Jan 2021;"US Crude Hits 11-month High on Biden Stimulus Package";"Oil prices jumped late in the week in anticipation of US President-elect Joe Biden's announcement of a $1.9 trillionrecovery package for the pandemic-ravaged US economy. The news threw sunshine on an otherwise cloudymarket still anxious about galloping coronavirus infection rates and concerns about the speed of a rebound in oildemand. Biden spoke after markets closed. He confirmed an extra $1,400 stimulus check for every US adult on topof the $600 agreed last month, plus a whole host of other spending.US crude benchmark West Texas Intermediate closed at an 11-month high of $53.57 per barrel Thursday, up$2.74/bbl on the week. International price-pin Brent gained $2.04/bbl to finish at $56.42/bbl having struck its ownpost-Covid-19 high earlier in the week. Brent flirted with $57/bbl Tuesday -- a rally analysts partly put down tosurplus liquidity sloshing around financial markets and looking for a home. Saudi Arabia’s surprise 1 million barrelper day output cut has also helped light a fire under prices, as have Covid-19 vaccine rollouts.European jet fuel premiums slumped after the region’s air traffic took yet another hit, even as underlying ICE gasoilfutures tracked crude higher. Several European countries are scrambling to ban arrivals from South America, and insome cases Portugal, in a bid to stop the spread of a dangerous new Covid-19 variant found in Brazil amid fears itcould prove resistant to vaccines. Eurocontrol Director-General Eamonn Brennan warned Thursday that thenetwork manager would be revising down its air traffic forecasts for February onward in the coming days after flightnumbers fell 65% below 2019 levels this week. The contango in European jet fuel has already flattened as hopesfor a sharp summer recovery fade (see table). A smaller European aviation industry is set to emerge from thepandemic. Norwegian Airlines said this week it had abandoned its low-cost, long-haul model and would onlyoperate regional and domestic Norwegian routes after Covid-19.Six jet fuel cargoes traded in Europe’s public pricing window last week, all of them indexed to Platts assessmentsto reflect the current market uncertainty. European supermajor Royal Dutch Shell has switched to the buy side thisyear having completely dominated selling throughout 2020. Shell bought 120,000 metric tons between Jan. 8-14,including from rival major BP on board the LR1 <em>Flagship Sage</em> sitting in UK Southwold anchorage andFrench oil company Total on the LR2 <em>Nordmarlin</em> coming from Ruwais in the United Arab Emirates.Shell also bought jet on unnamed ships from China’s Unipec, as did Swiss trader Vitol. The recent sharp drop inimports is starting to drain tanks. Closely watched jet stocks in Amsterdam-Rotterdam-Antwerp were down for asecond week to 934,000 tons on Jan. 14, according to Insights Global. Jet tanks are still more than 50% higherthan year-earlier levels while gasoil stocks are now in deficit.An improved outlook for the US economy helped spur a late-day futures rally on Thursday. Basis ultra-low-sulfurdiesel futures jumped by 2¢ per gallon to close at $1.62, lifting the February contract by 7¢ on the week. US jet fuelmarket fundamentals tightened up as a spurt in sales far exceeded output from refiners. The tail end of holidaytravel spurred a 60% surge in demand from the prior week to 1.468 million b/d in the week ended Jan. 8, accordingto Energy Information Administration figures. But a steep drop in passengers since then is likely to push jet salesback this week. Over the last four weeks average sales of 1.2 million b/d are one-third lower than in early 2020,signaling continued recovery from the pandemic. Airlines are seeing continued weakness in forward bookings in thefirst quarter. Delta Air Lines is cutting first-quarter capacity by 35% from year-ago levels. But most carriers arelooking forward to gradual improvement through the balance of the year, with a significant uptick in late 2021 asvaccines are more widely administered.The imbalance between supply and demand reduced US jet stocks by 1.5 million barrels to 37.3 million bbl -- nearly8% below the year-ago mark. Refiners boosted utilization rates to 82% of capacity to meet strengthening demandfor diesel and gasoline. Jet output climbed to 1.24 million b/d but lagged pre-Covid-19 levels by 700,000 b/d.Average prices of $1.52/gallon were the highest since late February last year, but still 40¢ below the year-ago mark.Jet spreads weakened slightly on the Gulf Coast and New York Harbor, offsetting some of the gain in basis dieselfutures. Gulf Coast differentials fell to 16¢ below February diesel futures, while New York Harbor spreads weakenedto 12¢ below the print.Asian jet markets softened as the refiners were faced with worsening incentives to produce jet rather than gasoil.The benchmark Singapore spot price differential weakened by 9¢/bbl from a week ago to a discount of 25¢/bbl toSingapore quotes on Jan. 14. The prompt regrade, which reflects how much stronger jet is compared to gasoil,tumbled by 25¢/bbl to negative 92¢/bbl on Thursday. Refiners are earning much more from producing and sellinggasoil rather than jet, which could further reduce jet yields across the region. A total of 100,000 bbl of late January-loading jet traded from Jan. 8-14 in the Platts Singapore trading window, which helps set jet prices for Asia.Mabanaft sold the volumes to Unipec.Jet arbitrage flows from East of Suez to west of the canal rose by 33,000 tons to 269,000 tons in the week startingJan. 11, according to data intelligence company Kpler. Five tankers are expected to load these volumes from India,the Mideast and South Korea. The newly built very large crude carrier (VLCC) <em>Halcyon</em> chartered byTrafigura is carrying 63,000 tons of jet and indicating Lome, Togo, as its destination, with an expected arrival dateof Jan. 16, according to Kpler. The newly built VLCC <em>Seavoice</em> is carrying 64,000 tons of jet and hadbeen floating off Fujairah. It is now indicating Rotterdam as its destination, with an expected arrival date of Feb. 13,Kpler added. European Quarterly Jet Fuel Swaps Quotes Quarter Chg. Jan 15 Jan 8 Q2'21 9.50 483.00 - 484.00 473.50 - 474.50 Q3'21 9.00 488.75 - 489.75 479.75 - 480.75 Q4'21 8.75 491.00 - 492.00 482.25 - 483.25 Q1'22 7.25 494.75 - 495.75 487.50 - 488.50"
Jan 2021;"Aviation's Covid-19 Recovery Still Five Years Away";"It could take another five years for Europe's aviation industry to recover from its Covid-19 downturn, while regionaldemand for conventional jet fuel may never return to pre-pandemic levels if efforts to ""build back better"" result inincreased uptake of sustainable aviation fuel (SAF) before then.A new Think Paper from Europe's air traffic controller Eurocontrol reckons it will be 2026 before European flightnumbers return to 2019 levels. This assumes that effective Covid-19 vaccines are not widely enough available untilnext year.Eurocontrol modeling shows flight numbers rising almost 17% this year compared to last. But the expected 5.64million flights is only 51% of the 11 million-plus departures -- the measurement used to capture European flights toall destinations -- seen in 2019. A much bigger jump to over 8 million is forecast for 2022 as more travelers arevaccinated.Even under a more rapid vaccine rollout, with all travelers inoculated this year, Eurocontrol still would not expect tosee regional air traffic return to 2019 levels until 2024. In a more pessimistic scenario, ineffective vaccines wouldpush the recovery back to 2029 at the earliest.The agency says aviation's slow recovery, even under the most optimistic scenarios, should be used as a windowof opportunity to build back better, including adoption of the EU's fuel-saving Single European Sky (SES) schemeand the funding of decarbonization efforts.It's thought that the SES alone could shave up to 10% from European jet fuel demand by making flying moreefficient.Meanwhile, Eurocontrol has called for any future taxation of aviation to be used to boost the uptake of SAF ( IODDec.22'20 ).European airline carbon emissions were 56.7% lower in January-November 2020 versus the same period of 2019,according to the latest available data. During that same period regional air traffic fell 54% to levels last seen in themid-1980s.Emissions savings were greater since fewer flights meant less congestion, allowing planes to fly more direct andfuel-efficient routes. Eurocontrol says the relaxation of more than 1,200 regional airspace restrictions since the startof the Covid-19 crisis has saved airlines up to 26,000 nautical miles a day.SAF is still the only carbon-saving option for long-haul flights over 1,500 kilometers which accounted for 74.6% ofaircraft emissions in 2019, despite making up only 29.8% of departures.Short-haul routes are more suitable for electrification, given current battery weight and performance. While flightsunder 500 km account for 24.1% of European departures, they only contribute 3.8% of emissions.Eurocontrol data show European air traffic collapsing 55% year on year in 2020 to just 4.8 million flights as nationalgovernments imposed strict travel restrictions in a bid to control the deadly virus.Traffic had been building up ahead of the Christmas and New Year holidays, before the discovery of new far moreinfectious strains of Covid-19 in the UK and South Africa triggered fresh lockdowns.Traffic fell back down to 63.3% below 2019 levels in the seven days to Jan. 6 compared to only a 47.9% deficit inthe week to Dec. 23.Spot jet fuel markets are starting to feel the pressure, although traders say widespread domestic refinery run cutsand a sharp drop in East of Suez imports this month have kept a floor under premiums that were still $20 per metricton above ICE low-sulfur gasoil futures at Thursday's close.Kerry Preston, London"
Jan 2021;"Oil Prices Wobble on Rising Covid-19 Cases and Vaccine Shortages";"Oil prices wobbled as surging Covid-19 case numbers and vaccine supply problems left large swaths of the globaleconomy stuck in lockdown and fuel demand in fresh tatters. International benchmark Brent held its head above$55 per barrel, as it mostly has since early January, closing up 88¢/bbl on the week at $55.53/bbl Thursday. Themarket is backwardated -- with prices falling over time -- reflecting the extent to which any demand recovery hasbeen pushed back by a fresh peak of Covid-19 caseloads. The world’s top oil buyer China imposed freshrestrictions ahead of the Lunar New Year holidays as infection rates surged. Oil demand growth is expected to kickin again from the summer once vaccination programs start to work. But there are major problems in the EU, whereBrussels is scrambling for vaccine supplies. In the US, President Joe Biden is struggling to make up for the Trumpadministration’s lack of planning.US benchmark West Texas Intermediate closed at $52.34/bbl Thursday, down 79¢/bbl on the week despite a 10million barrel drop in crude stocks that would have normally lifted prices. There was a very nice draw on US crudestocks yet there was no reaction,"" Star Fuels senior broker Matt Stanley wrote in a note. Oil prices could drawsome support from emerging policies from the administration of Biden, who is pursuing a hawkish climate agendatargeting both pipeline infrastructure and upstream activity on federal lands. Both could end up pinching supplydown the road, even as economic stimulus measures help bolster demand.European jet cargo premiums crumbled as tough new border restrictions were introduced to tackle the latest waveof Covid and risks associated with new variants of the deadly virus. Germany is planning a near-total ban ontravelers from the UK, Portugal, Brazil and South Africa following similar actions already taken by Belgium and theNetherlands. The EU otherwise requires a negative Covid-19 test and 10-day quarantine for travelers from all but ashort list of countries, not including the UK. The UK will soon force people coming from 22 high-risk countries toquarantine in designated hotels at their own expense. With all but essential travel made impractical, European airtraffic was down 66% below 2019 levels in the week to Jan. 28, according to the latest figures from Eurocontrol.The network manager has produced a set of dismal traffic forecasts for the first half of this year with flight numbersset to fall three-quarters below pre-pandemic levels in February and March with a 70% deficit still forecast for Juneif vaccine rollouts fail to boost nonessential air travel ( related ).Jet cargoes were pegged at a $17 per metric ton premium to front-month ICE low-sulfur gasoil futures in NorthwestEurope at Thursday’s close, down from $22/ton last week. Another five deals in the Platts market-on-close windowtook January volume to a record 510,000 tons for the month with China’s Unipec the dominant seller and Europeanmajor Royal Dutch Shell by far the biggest buyer. Unipec sold 120,000 tons to Shell this week, split between LeHavre and Rotterdam delivery, plus a further 30,000 tons to Swiss trader Vitol in Rotterdam, all against floatingPlatts c.i.f cargo mean (CCM) pricing. Jet tanks in Amsterdam-Rotterdam-Antwerp (ARA) fell for a fourth week in arow to 903,000 tons, according to Insights Global, after no import tankers discharged but small volume left for theUK and Irish kerosene markets. ARA tanks are their lowest in eight weeks but a record 82% above year-earlierlevels. Tanker tracker Kpler pegs January jet arrivals at 1.4 million tons, the highest since the summer but downfrom over 2 million tons in January last year. Barely 500,000 tons is tracked for February arrival so far but that figureis certain to rise.US jet fuel markets have struck a precarious balance around the 1.2 million barrel per day mark -- where supplyand demand landed in the week ended Jan. 22. Imports surged to 247,000 b/d and landed mainly on the WestCoast. That region became more dependent on imported supplies with the closure of two California refineries lastyear. Both plants will be repurposed to produce renewable diesel, which has become an important revenue streamfor US refiners. California jet demand has plummeted since lockdowns were imposed. Air traffic at Los Angelesairport dropped by 70%-80% for domestic and international flights in December.Jet prices held steady in line with ultra-low-sulfur diesel futures, which closed at $1.60 per gallon on Thursday. Jetspreads weakened through the month of January, falling to 18¢/gallon below diesel futures on the Gulf Coast, a12.5¢ discount in New York Harbor and 10¢ below the futures contract in Los Angeles. Outright jet quotes rangedfrom $1.41-$1.57/gallon and were in line with 30-day averages as weaker spreads offset gains in diesel futures.Refiners are maintaining a disciplined approach to jet fuel output even as they ramp up supplies of road transportfuels. They will continue to blend jet fuel into the diesel pool so long as demand remains weak. At 1.24 million b/d,sales are still 430,000 b/d short of the year-ago mark.Asian jet markets weakened as air traffic and jet demand in China plunged due to new lockdowns and thegovernment’s move to discourage residents from returning to their hometowns for the upcoming Chinese New Yearfestival. Scheduled airline capacity to, from and within China for the week of Jan. 25 plunged by 1.4 million seatmiles, according to aviation data analysis firm OAG. The benchmark Singapore spot price differential dropped by9¢/bbl from a week ago to a discount of 27¢/bbl to Singapore quotes on Jan. 27.The arbitrage flow of jet from East of Suez to west of the canal rose by 32,000 tons to 290,000 tons in the weekstarting Jan. 25, according to data intelligence company Kpler. The bulk of those volumes came from the Mideast,with 160,000 tons from the United Arab Emirates and 44,000 tons from Qatar. The remaining 86,000 tons werefrom South Korea. The newly built very large crude carrier <em>Seavoice</em> chartered by Total is carryingaround 271,000 tons of gasoil and jet. The tanker had originally been expected to deliver her cargo to SoutheastAsia, but is now signaling a destination of the Cape of Good Hope for further orders, Kpler noted. European Quarterly Jet Fuel Swaps Quotes Quarter Chg. Jan 29 Jan 22 Q2'21 4.75 472.50 - 473.50 467.75 - 468.75 Q3'21 3.25 479.25 - 480.25 476.00 - 477.00 Q4'21 2.75 483.00 - 484.00 480.25 - 481.25 Q1'22 1.75 485.50 - 486.50 483.75 - 484.75"
Jan 2021;"Europe: New Lockdowns Hurt Oil Demand in Europe";"Vaccine rollouts have brought hope of a return to normality for Europe, but it remains just that -- hope. Thecontinent’s product markets are still stuck in a vicious cycle of demand destruction after a new more virulent waveof Covid-19 sparked a third round of lockdown restrictions at the start of 2021. For the first quarter, EnergyIntelligence downgraded the consumption forecast for European and US demand by a combined 500,000 barrelsper day ( related ). Asia might be next ( related ).In Europe, the jet fuel market remains hardest hit with regional air traffic down 66.7% below same-day 2019 levelsmid-January and the region’s air traffic controller Eurocontrol warning it will take another five years for flightnumbers to recover. Current restrictions on road travel in Europe are almost as severe as during the first wave ofthe pandemic last April, when demand for jet, gasoline and diesel collapsed by 2.9 million b/d in the second quartercompared to the second quarter of 2019, Energy Intelligence data show ( OMI Jul.15'20 ).Support is coming from the supply side with product prices mostly firming relative to crude due to refinery run cuts.European refinery crude intake was just 10.3 million b/d in December, for a utilization rate of just 71%, down 12%-points from December 2019 ( related ). Gasoline markets have also benefited from strong export sales to the US --traffic hit 550,000 tons in December, according to tanker trackers, up almost a fifth on the previous year -- while asharp drop in imports has supported middle distillates.Sharply lower Asian jet and ultra-low-sulfur diesel (ULSD) imports have helped clear some of Europe’s floatingstorage overhang and put a floor under regional prices. Barely 1 million tons of ULSD is coming from the Mideastand Asia this month, down from almost 2.5 million tons in December, while parallel flows of jet are set to drop tojust 400,000 tons, down from up to 2 million tons per month before the pandemic. Hopes of a sharp recovery inairline fuel demand this summer are fading as new more infectious Covid-19 variants discovered in the UK, SouthAfrica and Brazil trigger fresh travel bans.Europe’s ULSD market faces a surge in short-haul Russian arrivals with Primorsk loadings at a nine-month high of1.557 million metric tons (375,000 b/d) this month. Sailings are back to levels last seen in April, before the fullextent of Covid-19 demand destruction became apparent. Trans-Atlantic ULSD flows are also ramping up withheavy traffic expected in the second half of January. Weaker US markets have also stemmed the unusual reverseflow of diesel from Europe seen late last year ( OMI Dec.17'20 ).Road demand faces a looming existential crisis in Europe even after Covid-19 as electric vehicle (EV) sales boomdespite the pandemic. EV sales nearly doubled to 673,000 last year, according to Oxford’s LMC Automotive, at thesame time that sales of diesel-only models tanked 35% to less than 3 million and gasoline fell 21% to 7.7 million.Internal combustion engines will no longer be sold in Europe by 2030, although it will take much longer for the carfleet to go electric. The boom in EV sales is a combination of government support and surplus household cash aftermost Europeans were deprived of their summer holidays last year. PRICE Monthly Recent S Prices Week"
Jan 2021;"Asia: Chinese Lockdowns Hold Key to Short-Term Market";"Chinese gasoline and jet fuel demand normally rise significantly around the Chinese Lunar New Year holiday,which falls on Feb. 12 this year. But a recent resurgence of coronavirus cases in the provinces of Hebei, whichsurrounds Beijing, and in the northern province of Heilongjiang, have already forced more than 28 million peopleinto lockdowns and prompted calls to limit travel during the holiday. How the situation evolves over the next threeweeks will be key to China’s products demand around Chinese New Year -- and beyond.China kicked off a major lockdown in the central province of Hubei just two days before the Chinese New Yearholiday last year as cases in Hubei’s capital city Wuhan surged. The lockdown was later rapidly expanded to largeswaths of China, which crushed transportation fuels demand from end-January to around mid-March. China’sFebruary 2020 demand fell by 4.3 million b/d on the year with another 1.5 million b/d drop in March beforerecovering and ending the year down just 250,000 b/d ( OMI May20'20 ).For now, China’s products demand is expected to grow at a healthy pace in 2021 -- if the recent coronavirus casesare rapidly brought under control -- after China’s economic recovery continued on a strong footing in the fourthquarter of 2020, with GDP growing 6.5% from the same quarter a year ago. China’s apparent oil demand clocked inat a healthy 3.7% in November and 2.9% in December, which might be revised up ( related ).Rising refining runs reflect stronger demand but also rising refining overcapacity ( related ). This is in turn hasprompted the Beijing government to increase by 5% the volume of refined products refiners can export in a firstbatch of quotas for 2021. Higher exports quotas, at 29.5 million tons, come with private giant refiner ZhejiangPetrochemicals (ZPC) joining the fray with a 2 million ton export quota, which will add further pressure on the Asia-Pacific markets ( OMI Dec.17'20 ).The regional gasoline market is showing some strength on the back of higher oil prices and optimism thatvaccination could lead to a faster recovery in the region. The star performers among the light ends are naphtha andLPGs, which are benefiting from the strong petrochemicals demand in Asia, with several crackers resumingoperations this quarter. Energy Intelligence assesses the naphtha crack spread -- or differential to Oman crude -- atits highest premium since at least June 2017.Increased bunker and power generation demand has kept Asian fuel oil markets buoyed. Asian bunkerconsumption has been fairly resilient, rising approximately 70,000 b/d on the year to average 2.6 million b/d in 2020,consultancy FGE said. Such demand should be further supported this year, as economies gradually recover fromCovid-19 and trading activities resume.A year-end surge in electricity consumption across much of Asia -- due to a much colder than expected northernhemisphere winter -- has also lifted fuel oil for power generation. Japanese and South Korean utilities have beenlooking to boost oil-fired generation capacity via burning more fuel oil and LPG, amid scarce and costly supply ofalternative fuel sources like coal, LNG, nuclear and solar. Rising demand for low-sulfur fuel oil has triggered a flurryof crude buying, especially from West African producers ( related )."
Jan 2021;"Biodiesel and Renewable Diesel Rise to Meet Carbon Reduction";"The National Biodiesel Board issued the following news release:The biodiesel and renewable diesel industry kicks off the first ever Virtual National Biodiesel Conference and Expothis week. The temporary move from in-person meetings to a virtual gathering has not dampened spirits, however,as the outlook for America's sustainable petroleum diesel replacement remains strong among environmentalregulators, biodiesel and renewable diesel producers, and marketers.In his annual State of the Industry address, themed ""Rise 2021,"" National Biodiesel Board CEO Donnell Rehagenpointed to several factors contributing to increased demand for biodiesel and renewable diesel.""Last year we unveiled Vision 2020, our plan to grow to over six billion gallons by the year 2030, and, withadvancements in feedstocks, 15 billion gallons by 2050,"" he said. ""The biodiesel and renewable diesel industrybelieves, with strong data I might add, we will have the production and market demand to reach this previouslyunimaginable goal by 2030.""Specifically, Rehagen said states across the country have embraced sustainable fuels as part of their own efforts tomitigate greenhouse gas emissions within their borders. Those efforts took on greater significance during thepandemic as Americans witnessed natural reduction of smog and pollution from drivers staying home and usingless petroleum.Beyond the growth in demand for traditional biodiesel and renewable diesel in on-road and off-road transportationapplications, the increasing use of Bioheat(R) as an oilheat replacement, as well as interest in renewable jet fuels,are expanding new markets for the industry.Rehagen also reminded virtual attendees that at last year's conference in Tampa, the industry was celebrating therecently reinstated biodiesel tax incentive, which continues to encourage growth.""By renewing the biodiesel tax incentive through 2022, Congress sent a strong signal that it supports growth in thebiodiesel market and provided a much-needed economic lifeline to biodiesel producers and farmers across thiscountry,"" he said.""At the beginning of 2020, markets began to reflect our ambitious industry goals. We saw biodiesel productionreach more than 130 million gallons in the first month and a wave of corporations announced their commitments tocarbon reduction, including Amazon, Walmart, Ikea, Pepsi, McDonalds, and many others."" OpportunitiesThose factors have the industry on target to achieve the Vision of six billion gallons of biodiesel and renewablediesel by 2030, Rehagen added. And that demand will require equivalent increases in feedstocks that will unfold asrelated markets rise to meet global demands.""The continued growing demand for animal protein alone, driven by worldwide population growth, will lead toincreased fats and oils in the market available for industrial uses,"" Rehagen said. ""Our U.S. farmers will continue tolead the way in feeding this growing population and we will use the additional availability of vegetable oils, usedcooking oil, and animal fats that comes with it.""The virtual National Biodiesel Conference and Expo concludes on Thursday. Next year's conference will mark the30th anniversary of the biodiesel industry with plans to meet in Las Vegas, January 17-20, 2022.Made from an increasingly diverse mix of resources such as recycled cooking oil, soybean oil and animal fats,biodiesel and renewable diesel are better, cleaner fuels that are available now for use in existing diesel engineswithout modification. NBB is the U.S. trade association representing the entire biodiesel and renewable diesel valuechain, including producers, feedstock suppliers, and fuel distributors.[Category: Energy]Copyright Targeted News ServicesMSTRUCK-7357162 MSTRUCK"
Jan 2021;"New US CDC rule requiring negative coronavirus test to enter country deals";"HOUSTON (ICIS)-- The US Centers for Disease Control and Prevention (CDC) is now requiring all internationaltravelers entering the US to have a negative coronavirus test, dealing another blow to jet fuel demand.According to the CDC, ""On January 12, 2021, CDC issued an [1]Order requiring all air passengers arriving to theUS from a foreign country to get tested no more than 3 days before their flight departs and to provide proof of thenegative result or documentation of having recovered from COVID-19 to the airline before boarding the flight. ThisOrder will go into effect on January 26, 2021.""Market sources say jet fuel demand and capacity will be further challenged with this new rule, as internationaltravel demand is expected to fall.References1. https://www.cdc.gov/quarantine/fr-proof-negative-test.html"
